DATE,TIME,STREET1,STREET2,HOOD_158,geometry,date,day_of_week,longitude,latitude,time,hour
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,236,WOODBINE AVE,O CONNOR DR,60,"{'type': 'MultiPoint', 'coordinates': [[-79.318797000266, 43.6995950001932]]}",2006-01-01,Sun,-79.318797000266,43.6995950001932,0236,02
2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,64,"{'type': 'MultiPoint', 'coordinates': [[-79.316187999698, 43.6848739998787]]}",2006-01-01,Sun,-79.316187999698,43.6848739998787,0315,03
2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,64,"{'type': 'MultiPoint', 'coordinates': [[-79.316187999698, 43.6848739998787]]}",2006-01-01,Sun,-79.316187999698,43.6848739998787,0315,03
2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,64,"{'type': 'MultiPoint', 'coordinates': [[-79.316187999698, 43.6848739998787]]}",2006-01-01,Sun,-79.316187999698,43.6848739998787,0315,03
2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,64,"{'type': 'MultiPoint', 'coordinates': [[-79.316187999698, 43.6848739998787]]}",2006-01-01,Sun,-79.316187999698,43.6848739998787,0315,03
2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,64,"{'type': 'MultiPoint', 'coordinates': [[-79.316187999698, 43.6848739998787]]}",2006-01-01,Sun,-79.316187999698,43.6848739998787,0315,03
